score,Pr1,Pr2,Pr3,Pr4,Mi1,Mi2,Mi3,Mi4,Mi5,Mi6,Mi7,Po1,Po2,Po3,Po4,Po5,Po6,Po7,Po8,Po9,Po10
81,,,,,2,8,12,4,4,6,4,3,3,3,1,7,6,5,0,14,3
90,2,1,2,2,3,9,9,4,2,13,4,2,2,2,2,4,3,4,1,9,3
87,2,3,2,3,,,,,,,,3,3,3,1,1,3,3,3,9,5
75,2,2,2,3,2,11,14,5,4,12,3,3,3,2,2,4,5,3,1,9,5
90,6,2,2,2,3,13,9,3,5,24,3,3,3,3,2,4,3,3,0,9,2
91,4,2,3,2,3,14,13,5,6,28,4,3,3,3,2,6,6,5,0,9,5
95,3,2,2,3,3,15,13,5,5,14,4,2,3,3,2,6,6,3,3,9,5
94,2,1,2,3,3,17,13,4,4,22,4,3,3,3,2,6,6,3,4,4,5
97,2,2,2,3,3,15,13,5,6,19,5,2,3,2,2,4,5,1,4,9,5
87,3,1,2,2,1,15,9,4,3,16,2,2,1,2,2,5,6,3,3,10,3
91,4,2,2,3,3,15,13,5,6,20,5,3,3,3,3,2,2,2,3,11,3
95,3,3,3,3,2,15,13,4,6,17,4,3,3,1,2,4,5,2,3,9,5
89,3,1,3,3,3,13,13,4,6,16,5,3,3,2,2,6,6,3,3,15,3
92,2,2,2,3,2,13,16,5,6,26,4,2,2,2,2,6,4,2,1,4,3
91,3,2,2,3,2,9,13,5,4,18,2,3,2,2,2,4,4,3,3,9,3
94,4,2,2,3,2,15,13,5,6,19,5,2,3,2,2,3,3,2,4,9,5
94,3,1,3,3,2,14,13,5,6,15,4,2,3,2,2,5,4,3,3,11,5
89,,,,,2,13,13,4,5,18,4,3,3,2,2,6,3,2,4,12,3
92,3,1,2,3,3,14,13,5,6,20,5,3,3,3,2,4,6,3,4,11,5
91,2,2,2,2,2,20,16,5,6,27,5,2,3,2,2,4,4,3,4,9,5
62,2,2,2,3,1,18,3,3,5,16,4,3,2,2,2,2,4,4,3,5,3
98,4,3,2,2,3,21,14,5,6,15,5,3,3,3,2,5,6,4,4,9,5
99,4,1,2,3,3,9,12,5,6,15,5,3,3,3,2,6,5,2,4,9,5
92,6,4,2,2,2,14,14,5,6,11,5,2,2,2,3,4,3,3,3,12,5
94,4,2,3,3,2,11,13,4,4,18,4,2,2,2,2,7,6,3,4,12,5
94,2,3,1,3,2,15,15,5,3,27,4,3,3,3,2,5,6,2,4,9,3
95,5,3,3,2,2,12,13,5,6,19,4,3,3,2,3,5,3,2,0,5,5
92,3,3,1,2,2,15,12,5,6,17,4,3,2,2,2,5,6,3,4,9,5
93,4,3,2,3,3,21,13,5,6,15,4,3,3,2,2,6,6,3,4,9,5
97,6,3,2,3,2,15,13,5,5,16,5,3,3,3,3,6,6,5,4,11,5
92,5,3,3,3,3,9,9,4,6,25,5,2,2,2,2,6,6,5,3,9,5
92,,,,,3,14,11,5,6,21,5,3,3,3,3,3,6,5,4,9,5
90,2,2,2,2,2,14,15,5,4,21,4,2,2,2,1,6,6,3,3,11,5
91,,,,,2,11,13,5,5,18,5,3,3,2,2,1,4,2,4,5,5
89,6,3,3,3,2,12,15,5,6,16,4,2,2,2,2,6,6,5,4,4,3
94,3,2,2,3,2,16,11,5,6,13,5,3,3,2,2,5,4,2,4,9,5
89,2,2,2,3,1,13,11,4,6,14,4,3,2,2,2,3,6,2,4,9,5
91,2,3,3,2,1,9,11,3,6,11,4,1,2,1,1,4,6,2,2,12,3
93,5,1,3,3,2,14,13,4,5,12,3,2,2,2,2,4,4,3,3,9,3
75,5,3,3,2,2,15,11,1,4,19,2,2,3,2,2,3,4,5,2,9,3
89,4,3,3,3,3,9,15,5,6,16,4,2,3,3,3,6,6,3,4,9,5
88,2,1,1,2,3,11,5,4,3,16,5,2,3,3,2,4,4,2,1,9,5
95,3,1,2,3,3,11,11,5,6,14,4,3,3,2,2,6,6,3,4,9,5
95,5,3,2,3,3,13,13,5,6,19,4,3,3,3,2,6,5,3,4,9,5
93,4,2,3,3,2,7,15,5,6,23,4,2,2,2,2,5,5,2,4,9,5
93,3,1,2,3,2,13,12,5,4,16,4,2,2,2,2,7,6,2,0,9,3
91,4,1,3,3,3,14,15,5,4,27,4,2,3,2,2,4,3,3,1,9,5
95,2,3,2,3,1,13,12,4,5,12,4,2,3,1,1,4,2,2,4,11,3
96,3,1,3,2,3,15,13,5,6,12,5,3,2,3,2,3,4,3,4,9,5
80,3,1,2,3,1,15,15,5,1,21,0,3,3,3,2,4,1,2,3,9,5
89,4,1,3,2,2,15,12,4,6,16,4,2,2,3,2,7,6,3,3,9,5
91,6,3,2,2,3,15,13,5,6,16,4,3,2,1,1,5,6,2,2,9,5
89,2,3,1,1,2,11,11,3,6,12,4,2,2,2,2,4,5,2,3,9,3
92,5,3,3,1,2,12,12,4,5,6,5,3,1,2,2,4,4,3,3,9,3
92,3,3,3,3,2,14,13,5,6,16,5,3,3,3,3,5,6,3,3,9,5
93,2,3,2,2,2,14,17,5,6,17,4,3,3,3,2,3,3,1,3,9,5
92,3,3,3,3,2,14,12,4,6,14,4,2,2,3,2,6,5,4,3,9,5
90,1,2,2,2,2,5,4,3,2,5,1,2,3,2,2,1,1,1,3,3,2
